"","-1","-1to1","1to-1","1","sample","shape","BetaSigma","model","segs"
"53",0.939430921308813,0.0605690786911871,0.185257221243315,0.814742778756685,"9469",1,500,"sign",28
"54",0.86046511627907,0.13953488372093,0.260869565217391,0.739130434782609,"9469",1,500,"gaussian",28
"55",0.927813280002034,0.0721867199979663,0.0326979752742375,0.967302024725763,"9469",1,500,"sign",29
"56",0.886363636363636,0.113636363636364,0.2,0.8,"9469",1,500,"gaussian",29
"57",0.949625691297356,0.0503743087026439,0.0884361273171108,0.911563872682889,"9469",1,500,"sign",30
"58",1,0,0,1,"9469",1,500,"gaussian",30
"59",0.968423959067178,0.0315760409328215,0.08697155075489,0.91302844924511,"9469",1,500,"sign",31
"60",0.953703703703704,0.0462962962962963,0.217391304347826,0.782608695652174,"9469",1,500,"gaussian",31
"61",0.959241757705995,0.0407582422940055,0.16676156294183,0.83323843705817,"9469",1,500,"sign",32
"62",0.833333333333333,0.166666666666667,0.235294117647059,0.764705882352941,"9469",1,500,"gaussian",32
"63",0.956430129148774,0.0435698708512262,0.027211494326139,0.972788505673861,"9469",1,500,"sign",33
"64",0.952380952380952,0.0476190476190476,0.111111111111111,0.888888888888889,"9469",1,500,"gaussian",33
"65",0.955670760031083,0.0443292399689171,0.0784267571475536,0.921573242852446,"9469",1,500,"sign",34
"66",0.904761904761905,0.0952380952380952,0.129411764705882,0.870588235294118,"9469",1,500,"gaussian",34
"67",0.926294964843344,0.073705035156656,0.107079441902232,0.892920558097768,"9469",1,500,"sign",35
"68",0.913793103448276,0.0862068965517241,0.206896551724138,0.793103448275862,"9469",1,500,"gaussian",35
"69",0.934855617256527,0.0651443827434733,0.0238809837269157,0.976119016273084,"9469",1,500,"sign",36
"70",0.862745098039216,0.137254901960784,0.101449275362319,0.898550724637681,"9469",1,500,"gaussian",36
"71",0.893350188682345,0.106649811317655,0.0661601447082632,0.933839855291737,"9469",1,500,"sign",37
"72",0.882352941176471,0.117647058823529,0.132530120481928,0.867469879518072,"9469",1,500,"gaussian",37
"73",0.88286853703178,0.11713146296822,0.132901481098531,0.867098518901469,"9469",1,500,"sign",38
"74",0.75,0.25,0.148148148148148,0.851851851851852,"9469",1,500,"gaussian",38
"75",0.866532094238349,0.133467905761651,0.113019512083086,0.886980487916914,"9469",1,500,"sign",39
"76",0.705882352941177,0.294117647058824,0.171428571428571,0.828571428571429,"9469",1,500,"gaussian",39
"77",0.654864811837449,0.345135188162551,9.44471456196781e-46,1,"9469",1,500,"sign",40
"78",0,1,0.0833333333333333,0.916666666666667,"9469",1,500,"gaussian",40
"79",0.964432860001818,0.0355671399981815,0.0321011492012282,0.967898850798772,"9469",1,500,"sign",41
"80",0.883720930232558,0.116279069767442,0.0674846625766871,0.932515337423313,"9469",1,500,"gaussian",41
"81",0.640872749375125,0.359127250624875,0.999999996658331,3.34166895325913e-09,"9469",1,500,"sign",42
"82",0.666666666666667,0.333333333333333,1,0,"9469",1,500,"gaussian",42
"83",0.828617315104136,0.171382684895864,0.0507177295733952,0.949282270426605,"9469",1,500,"sign",43
"84",0.774193548387097,0.225806451612903,0.121212121212121,0.878787878787879,"9469",1,500,"gaussian",43
"85",0.959035492824518,0.040964507175482,0.0317282723555615,0.968271727644438,"9469",1,500,"sign",44
"86",0.96969696969697,0.0303030303030303,1,0,"9469",1,500,"gaussian",44
"87",0.845075203329562,0.154924796670438,0.120952825054463,0.879047174945537,"9469",1,500,"sign",45
"88",0.821428571428571,0.178571428571429,0.3,0.7,"9469",1,500,"gaussian",45
"89",0.917559325745278,0.082440674254722,0.0622691828929199,0.93773081710708,"9469",1,500,"sign",46
"90",0.852941176470588,0.147058823529412,0.217391304347826,0.782608695652174,"9469",1,500,"gaussian",46
"91",0.972458424387066,0.0275415756129337,0.0941224526670808,0.905877547332919,"9469",1,500,"sign",48
"92",0.828947368421053,0.171052631578947,0.228070175438596,0.771929824561403,"9469",1,500,"gaussian",48
"93",0.975649693117007,0.0243503068829928,0.0512784086787601,0.94872159132124,"9469",1,500,"sign",49
"94",0.964912280701754,0.0350877192982456,0.072463768115942,0.927536231884058,"9469",1,500,"gaussian",49
"95",0.96775055561289,0.0322494443871098,0.0199572714665887,0.980042728533411,"9469",1,500,"sign",50
"96",0.933333333333333,0.0666666666666667,0.102564102564103,0.897435897435897,"9469",1,500,"gaussian",50
"97",0.999999999999996,4.1495416144354e-15,0.124031430043128,0.875968569956872,"9469",1,500,"sign",51
"98",1,0,0.142857142857143,0.857142857142857,"9469",1,500,"gaussian",51
"99",0.929940756799602,0.0700592432003977,0.0206370602717178,0.979362939728282,"9469",1,500,"sign",52
"100",0.848484848484849,0.151515151515152,0.146341463414634,0.853658536585366,"9469",1,500,"gaussian",52
"101",0.971650812059287,0.0283491879407131,0.0864243685755759,0.913575631424424,"9469",1,500,"sign",53
"102",0.914285714285714,0.0857142857142857,0.214285714285714,0.785714285714286,"9469",1,500,"gaussian",53
"103",0.945925391163934,0.0540746088360663,0.0615922456162553,0.938407754383745,"9469",1,500,"sign",54
"104",0.838709677419355,0.161290322580645,0.153846153846154,0.846153846153846,"9469",1,500,"gaussian",54
"105",0.885878765054574,0.114121234945426,0.098457582997657,0.901542417002343,"9469",1,500,"sign",55
"106",1,0,0,1,"9469",1,500,"gaussian",55
"107",0.987507864288259,0.0124921357117413,0.0441263958230402,0.95587360417696,"9469",1,500,"sign",56
"108",0.813953488372093,0.186046511627907,0.133333333333333,0.866666666666667,"9469",1,500,"gaussian",56
"109",0.95018585694859,0.04981414305141,0.0131406144219083,0.986859385578092,"9469",1,500,"sign",57
"110",0.885057471264368,0.114942528735632,0.0901639344262295,0.909836065573771,"9469",1,500,"gaussian",57
"111",0.875505566869281,0.124494433130719,0.04598618029714,0.95401381970286,"9469",1,500,"sign",58
"112",0.894736842105263,0.105263157894737,0.272727272727273,0.727272727272727,"9469",1,500,"gaussian",58
"113",0.955259407837133,0.0447405921628665,0.0576059913872325,0.942394008612767,"9469",1,500,"sign",59
"114",0.89010989010989,0.10989010989011,0.123456790123457,0.876543209876543,"9469",1,500,"gaussian",59
"115",0.913740366785951,0.0862596332140484,0.199865980020158,0.800134019979842,"9469",1,500,"sign",60
"116",0.9,0.1,0.217391304347826,0.782608695652174,"9469",1,500,"gaussian",60
"117",0.974872741762517,0.0251272582374826,0.0384407600997654,0.961559239900235,"9469",1,500,"sign",61
"118",0.814814814814815,0.185185185185185,0.153846153846154,0.846153846153846,"9469",1,500,"gaussian",61
