"","X.1","X.1to1","X1to.1","X1","sample","shape","BetaSigma","model","segs"
"3228",0.833333333333333,0.166666666666667,0.0714285714285714,0.928571428571429,10461,1,500,"gaussian",51
"3229",0.957439124391022,0.0425608756089785,0.0349780139870298,0.96502198601297,10461,1,500,"sign",52
"3230",0.920634920634921,0.0793650793650794,0.130434782608696,0.869565217391304,10461,1,500,"gaussian",52
"3231",0.952715384912638,0.0472846150873617,0.0300295839435604,0.96997041605644,10461,1,500,"sign",53
"3232",0.880952380952381,0.119047619047619,0.131578947368421,0.868421052631579,10461,1,500,"gaussian",53
"3233",0.921459301964174,0.0785406980358259,0.0821466551383897,0.91785334486161,10461,1,500,"sign",55
"3234",0.875,0.125,0.117647058823529,0.882352941176471,10461,1,500,"gaussian",55
"3235",0.999999997447113,2.55288728208974e-09,0.0204078009156957,0.979592199084304,10461,1,500,"sign",56
"3236",0.9375,0.0625,0.06,0.94,10461,1,500,"gaussian",56
"3237",0.926243281638614,0.0737567183613857,0.0425726271113349,0.957427372888665,10461,1,500,"sign",57
"3238",0.933333333333333,0.0666666666666667,0.428571428571429,0.571428571428571,10461,1,500,"gaussian",57
"3239",0.903492039508043,0.096507960491957,0.0983222978607334,0.901677702139267,10461,1,500,"sign",58
"3240",0.757575757575758,0.242424242424242,0.313725490196078,0.686274509803922,10461,1,500,"gaussian",58
"3241",0.939547461040805,0.0604525389591947,0.0222380104442856,0.977761989555714,10461,1,500,"sign",59
"3242",0.892857142857143,0.107142857142857,0.0555555555555556,0.944444444444444,10461,1,500,"gaussian",59
"3243",0.985409858415299,0.0145901415847012,0.0138795226166053,0.986120477383395,10461,1,500,"sign",60
"3244",0.926470588235294,0.0735294117647059,0.0810810810810811,0.918918918918919,10461,1,500,"gaussian",60
"3245",0.940987934910471,0.0590120650895288,0.0223148708931328,0.977685129106867,10461,1,500,"sign",61
"3246",0.929824561403509,0.0701754385964912,0.0816326530612245,0.918367346938776,10461,1,500,"gaussian",61
"3247",0.759215805986096,0.240784194013904,0.0697973681645075,0.930202631835492,10461,1,500,"sign",62
"3248",0.684210526315789,0.315789473684211,0.272727272727273,0.727272727272727,10461,1,500,"gaussian",62
"3249",0.950171631166589,0.0498283688334107,0.160045124066815,0.839954875933185,10461,1,500,"sign",63
"3250",0.956521739130435,0.0434782608695652,0.2,0.8,10461,1,500,"gaussian",63
"3251",0.931097935906275,0.0689020640937252,0.0654841342580919,0.934515865741908,10461,1,500,"sign",64
