"","sample","shape","perim"
"212",10851,10,410.124891681028
"213",10851,11,277.254833995939
"214",10851,12,316.911688245432
"215",10851,13,329.497474683059
"216",10851,14,298.325901807805
"217",10851,15,317.497474683058
"218",10851,16,261.597979746447
"219",10851,17,202.183766184074
"220",10851,18,343.982756057297
"221",10851,19,154.62741699797
"222",10856,1,4202.52099474887
"223",10856,2,1715.12698372208
"224",10856,3,1503.97265478953
"225",10856,4,1030.2914139224
"226",10856,5,934.735064736295
"227",10856,6,425.63961030679
"228",10857,1,3025.56053326819
"229",10857,2,4197.1067811865
"230",10857,3,1880.92597359531
"231",10859,1,3358.61435713734
"232",10859,2,369.296464556282
"233",10859,3,233.355339059327
"234",10859,4,282.083261120685
"235",10859,5,255.01219330882
"236",10860,1,8261.82878606232
"237",10860,2,237.597979746447
"238",10862,1,3093.74429945226
"239",10865,1,4173.24891681023
"240",10865,2,297.740115370178
"241",10865,3,235.840620433566
"242",10872,1,2641.27626202074
"243",10872,2,1454.07315985292
"244",10872,3,1154.67619023325
"245",10872,4,538.752308678998
"246",10872,5,490.02438661764
"247",10876,1,12918.7589437399
"248",10876,2,457.539105243401
"249",10876,3,337.982756057297
"250",10876,4,468.953318805774
"251",10877,1,4582.54538136652
"252",10877,2,2717.51890270785
"253",10877,3,1096.57568516986
"254",10877,4,1080.91883092037
"255",10877,5,514.610173055267
"256",10877,6,508.02438661764
"257",10877,7,342.811183182043
"258",10877,8,325.982756057297
"259",10877,9,255.01219330882
"260",10877,10,264.083261120685
"261",10877,11,243.597979746447
"262",10877,12,298.911688245432
"263",10878,1,3828.19509294107
"264",10878,2,2966.87424176717
"265",10878,3,265.254833995939
"266",10880,1,4054.27835406175
"267",10880,2,292.325901807805
"268",10880,3,319.982756057297
"269",10881,1,6906.76781951817
"270",10881,2,253.840620433566
"271",10881,3,248.426406871193
"272",10886,1,6301.22871427476
"273",10886,2,422.124891681028
"274",10886,3,407.053823869163
"275",10887,1,8291.08362005826
"276",10887,2,2507.82041789802
"277",10887,3,505.681240867132
"278",10887,4,337.982756057297
"279",10887,5,310.911688245432
"280",10894,1,3928.13621843802
"281",10901,1,1861.47012947259
"282",10901,2,861.279220613579
"283",10901,3,583.681240867132
"284",10903,1,7042.14040252021
"285",10904,1,8602.48058967794
"286",10905,1,4485.08953724381
"287",10905,2,223.698484809835
"288",10905,3,243.01219330882
"289",10931,1,4110.92301500243
"290",10931,2,333.154328932551
"291",10932,1,3028.63160108005
"292",10934,1,5134.67027304757
"293",10934,2,736.450793488833
"294",10934,3,511.095454429505
"295",10934,4,353.63961030679
"296",10934,5,288.083261120685
"297",10938,1,5246.16774773063
"298",10938,2,1610.35743110038
"299",10938,3,1133.74725804512
"300",10938,4,418.468037431536
"301",10938,5,311.497474683058
"302",10938,6,249.597979746447
"303",10939,1,2182.52395334175
"304",10939,2,1291.20310216783
"305",10939,3,1308.6173157302
"306",10939,4,1273.0609665441
"307",10939,5,968.977705423415
"308",10939,6,524.852813742386
