"","sample","shape","area"
"586",11358,3,1909
"587",11358,4,1580.5
"588",11358,5,1364
"589",11358,6,1295.5
"590",11358,7,1177.5
"591",11358,8,909.5
"592",11361,1,110606.5
"593",11361,2,1744.5
"594",11364,1,58202
"595",11364,2,2081
"596",11364,3,2090
"597",11368,1,88020
"598",11368,2,53903.5
"599",11368,3,39061.5
"600",11372,1,36883
"601",11372,2,3368.5
"602",11372,3,2993.5
"603",11372,4,2815.5
"604",11372,5,1891.5
"605",11372,6,989
"606",11372,7,933.5
"607",11373,1,98417
"608",11373,2,1773.5
"609",11373,3,1632
"610",11373,4,906.5
"611",11373,5,886
"612",11374,1,117549
"613",11374,2,96690.5
"614",11374,3,4866
"615",11374,4,3134
"616",11375,1,199814.5
"617",11375,2,16460.5
"618",11375,3,2900.5
"619",11377,1,60477
"620",11388,1,205173.5
"621",11389,1,190303
"622",11391,1,54928.5
"623",11391,2,23596.5
"624",11391,3,4033.5
"625",11391,4,2608.5
"626",11391,5,2373
"627",11391,6,1436.5
"628",11398,1,71051.5
"629",11398,2,28669.5
"630",11398,3,10111
"631",11398,4,9145
"632",11398,5,1767
"633",11398,6,1825
"634",11398,7,1915
"635",11398,8,1305.5
"636",11398,9,1193.5
"637",11398,10,859
"638",11413,1,22168
"639",11413,2,9400.5
"640",11413,3,6658
"641",11413,4,2996
"642",11414,1,360698
"643",11414,2,52388.5
"644",11415,1,268254.5
"645",11427,1,122208
"646",11427,2,6136.5
"647",11427,3,844
"648",11429,1,93807.5
"649",11432,1,116790
"650",11433,1,102584.5
"651",11433,2,2541.5
"652",11435,1,50726.5
"653",11435,2,19043
"654",11435,3,12879
"655",11435,4,7627
"656",11435,5,5066
"657",11435,6,3569
"658",11435,7,2989.5
"659",11435,8,2698
"660",11435,9,1194.5
"661",11435,10,1108.5
"662",11435,11,813.5
"663",11436,1,103066.5
"664",11436,2,25253.5
"665",11438,1,91271
"666",11438,2,3126.5
"667",11438,3,1936
"668",11445,1,107298
"669",11445,2,10479
"670",11445,3,1657.5
"671",11445,4,1360.5
"672",11445,5,1154.5
"673",11446,1,106943.5
"674",11454,1,101129
"675",11454,2,91066
"676",11454,3,1967.5
"677",11454,4,1003.5
"678",11454,5,904.5
"679",11455,1,141433
"680",11455,2,133597.5
"681",11455,3,1619
"682",11455,4,1258.5
"683",11455,5,891.5
"684",11456,1,49977
"685",11456,2,11823
"686",11456,3,10027.5
"687",11456,4,1118
"688",11456,5,1050.5
"689",11458,1,36234.5
"690",11458,2,20527
"691",11458,3,13527.5
"692",11458,4,6311
"693",11458,5,3401.5
"694",11458,6,2046.5
"695",11458,7,1376
"696",11458,8,1085.5
"697",11458,9,809
"698",11460,1,3958.5
"699",11460,2,3069.5
"700",11460,3,2909.5
"701",11460,4,2041
"702",11460,5,1880
"703",11460,6,1209
"704",11460,7,996
"705",11462,1,81874.5
"706",11462,2,43222
"707",11462,3,32086
"708",11462,4,28211.5
"709",11462,5,1031
"710",11463,1,53087.5
"711",11463,2,1104
"712",11471,1,44990.5
"713",11471,2,2361
"714",11471,3,1490.5
"715",11471,4,948.5
"716",11786,1,35603.5
"717",11787,1,198557
"718",11787,2,8872
"719",11787,3,6622
"720",11787,4,3992.5
"721",11787,5,3562
"722",11787,6,3387.5
"723",11787,7,3463
"724",11787,8,1737.5
"725",11787,9,1725.5
"726",11787,10,1679
"727",11787,11,1552.5
"728",11787,12,1523
"729",11787,13,1341.5
"730",11787,14,787
"731",11788,1,351847.5
"732",11788,2,1193
"733",11788,3,967.5
"734",11788,4,825.5
"735",9388,1,64522
"736",9388,2,23748.5
"737",9388,3,1468.5
"738",9389,1,48141
"739",9389,2,1379.5
"740",9390,1,25430
"741",9390,2,6766.5
"742",9390,3,2837
"743",9401,1,136821.5
"744",9402,1,265845
"745",9402,2,6220.5
"746",9459,1,66200
"747",9459,2,58270.5
"748",9459,3,14804.5
"749",9459,4,8225
"750",9459,5,7536
"751",9459,6,7609
"752",9459,7,6434.5
"753",9459,8,5349
"754",9459,9,2108
"755",9459,10,1504.5
"756",9459,11,1343
"757",9459,12,1341.5
"758",9459,13,1128.5
"759",9459,14,998.5
"760",9459,15,929
"761",9460,1,118540.5
"762",9460,2,64610.5
"763",9460,3,24509.5
"764",9460,4,5174.5
"765",9460,5,4743.5
"766",9460,6,3820
"767",9460,7,2806
"768",9460,8,1476.5
"769",9460,9,1344
"770",9460,10,958
"771",9460,11,802.5
"772",9462,1,38761.5
"773",9462,2,4130.5
"774",9462,3,1108
"775",9462,4,801
"776",9463,1,66096
"777",9463,2,12160.5
"778",9463,3,806.5
"779",9465,1,175292
"780",9465,2,13057.5
"781",9465,3,2640.5
"782",9465,4,2458.5
"783",9465,5,2347
"784",9465,6,2186
"785",9468,1,126270.5
"786",9468,2,15466.5
"787",9468,3,2788.5
"788",9468,4,1346.5
"789",9468,5,742.5
"790",9469,1,234687
"791",9474,1,207296.5
"792",9474,2,2381
"793",9475,1,274972.5
"794",9475,2,2200
"795",9475,3,922
"796",9481,1,154118.5
"797",9481,2,13561.5
"798",9481,3,4930
"799",9481,4,2879
"800",9481,5,2332
"801",9481,6,1751.5
"802",9481,7,1511.5
"803",9481,8,1122
"804",9482,1,201341
"805",9482,2,12396.5
"806",9482,3,1504.5
"807",9482,4,1476
"808",9482,5,1139.5
"809",9496,1,321844.5
"810",9496,2,2246
"811",9496,3,1552.5
"812",9496,4,1483.5
"813",9496,5,859
"814",9496,6,785
"815",9497,1,442576.5
"816",9497,2,10746
"817",9497,3,1588.5
"818",9497,4,941.5
"819",9528,1,60359
"820",9528,2,11396
"821",9528,3,5567.5
"822",9528,4,2262
"823",9528,5,1317
"824",9528,6,1022.5
"825",9528,7,923
"826",9528,8,878.5
"827",9528,9,912
"828",9529,1,59434
"829",9529,2,8146.5
"830",9529,3,4904
"831",9529,4,4076
"832",9529,5,3696.5
"833",9529,6,3127.5
"834",9529,7,1999
"835",9529,8,1765
"836",9529,9,1665.5
"837",9529,10,1234
"838",9529,11,1164
"839",9529,12,1030.5
