"","sample","shape","area"
"678","11398",2,28669.5
"679","11398",3,10111
"680","11398",4,9145
"681","11398",5,1767
"682","11398",6,1825
"683","11398",7,1915
"684","11398",8,1305.5
"685","11398",9,1193.5
"686","11398",10,859
"687","11413",1,22168
"688","11413",2,9400.5
"689","11413",3,6658
"690","11413",4,2996
"691","11414",1,360698
"692","11414",2,52388.5
"693","11415",1,268254.5
"694","11427",1,122208
"695","11427",2,6136.5
"696","11427",3,844
"697","11429",1,93807.5
"698","11432",1,116790
"699","11433",1,102584.5
"700","11433",2,2541.5
"701","11435",1,50726.5
"702","11435",2,19043
"703","11435",3,12879
"704","11435",4,7627
"705","11435",5,5066
"706","11435",6,3569
"707","11435",7,2989.5
"708","11435",8,2698
"709","11435",9,1194.5
"710","11435",10,1108.5
"711","11435",11,813.5
"712","11436",1,103066.5
"713","11436",2,25253.5
"714","11438",1,91271
"715","11438",2,3126.5
"716","11438",3,1936
"717","11445",1,107298
"718","11445",2,10479
"719","11445",3,1657.5
"720","11445",4,1360.5
"721","11445",5,1154.5
"722","11446",1,106943.5
"723","11454",1,101129
"724","11454",2,91066
"725","11454",3,1967.5
"726","11454",4,1003.5
"727","11454",5,904.5
"728","11455",1,141433
"729","11455",2,133597.5
"730","11455",3,1619
"731","11455",4,1258.5
"732","11455",5,891.5
"733","11456",1,49977
"734","11456",2,11823
"735","11456",3,10027.5
"736","11456",4,1118
"737","11456",5,1050.5
"738","11458",1,36234.5
"739","11458",2,20527
"740","11458",3,13527.5
"741","11458",4,6311
"742","11458",5,3401.5
"743","11458",6,2046.5
"744","11458",7,1376
"745","11458",8,1085.5
"746","11458",9,809
"747","11460",1,3958.5
"748","11460",2,3069.5
"749","11460",3,2909.5
"750","11460",4,2041
"751","11460",5,1880
"752","11460",6,1209
"753","11460",7,996
"754","11462",1,81874.5
"755","11462",2,43222
"756","11462",3,32086
"757","11462",4,28211.5
"758","11462",5,1031
"759","11463",1,53087.5
"760","11463",2,1104
"761","11471",1,44990.5
"762","11471",2,2361
"763","11471",3,1490.5
"764","11471",4,948.5
"765","11786",1,35603.5
"766","11787",1,198557
"767","11787",2,8872
"768","11787",3,6622
"769","11787",4,3992.5
"770","11787",5,3562
"771","11787",6,3387.5
"772","11787",7,3463
"773","11787",8,1737.5
"774","11787",9,1725.5
"775","11787",10,1679
"776","11787",11,1552.5
"777","11787",12,1523
"778","11787",13,1341.5
"779","11787",14,787
"780","11788",1,351847.5
"781","11788",2,1193
"782","11788",3,967.5
"783","11788",4,825.5
"784","9388",1,64522
"785","9388",2,23748.5
"786","9388",3,1468.5
"787","9389",1,48141
"788","9389",2,1379.5
"789","9390",1,25430
"790","9390",2,6766.5
"791","9390",3,2837
"792","9401",1,136821.5
"793","9402",1,265845
"794","9402",2,6220.5
"795","9459",1,66200
"796","9459",2,58270.5
"797","9459",3,14804.5
"798","9459",4,8225
"799","9459",5,7536
"800","9459",6,7609
"801","9459",7,6434.5
"802","9459",8,5349
"803","9459",9,2108
"804","9459",10,1504.5
"805","9459",11,1343
"806","9459",12,1341.5
"807","9459",13,1128.5
"808","9459",14,998.5
"809","9459",15,929
"810","9460",1,118540.5
"811","9460",2,64610.5
"812","9460",3,24509.5
"813","9460",4,5174.5
"814","9460",5,4743.5
"815","9460",6,3820
"816","9460",7,2806
"817","9460",8,1476.5
"818","9460",9,1344
"819","9460",10,958
"820","9460",11,802.5
"821","9461",1,18603
"822","9461",2,1414.5
"823","9461",3,1085
"824","9462",1,38761.5
"825","9462",2,4130.5
"826","9462",3,1108
"827","9462",4,801
"828","9463",1,66096
"829","9463",2,12160.5
"830","9463",3,806.5
"831","9465",1,175292
"832","9465",2,13057.5
"833","9465",3,2640.5
"834","9465",4,2458.5
"835","9465",5,2347
