"","Re1..Intercept.","Re1.sd","sample","shape","BetaSigma","status","segs"
"168",-1.206,1.243,10025,1,500,1,43
"169",-3.751,1.328,10025,1,500,-1,42
"170",1.1,2.209,10025,1,500,1,42
"171",-7.836,1.925,10025,1,500,-1,41
"172",-0.066,2.558,10025,1,500,1,41
"173",-4.634,0.732,10025,1,500,-1,40
"174",-1.649,0.92,10025,1,500,1,40
"175",0.271,1.538,10025,1,500,-1,39
"176",4.847,1.381,10025,1,500,1,39
"177",-4.582,1.55,10025,1,500,-1,38
"178",2.718,2.907,10025,1,500,1,38
"179",-4.581,0.752,10025,1,500,-1,37
"180",-0.316,1.609,10025,1,500,1,37
"181",0.448,0.974,10025,1,500,-1,36
"182",3.313,4.23,10025,1,500,1,36
"183",-3.14,2.313,10025,1,500,-1,34
"184",2.408,2,10025,1,500,1,34
"185",-3.799,2.165,10025,1,500,-1,33
"186",1.871,2.472,10025,1,500,1,33
"187",0.471,0.667,10025,1,500,-1,32
"188",0.707,0,10025,1,500,1,32
"189",-3.728,1.827,10025,1,500,-1,31
"190",2.857,2.71,10025,1,500,1,31
"191",-2.47,1.812,10025,1,500,-1,30
"192",2.372,1.585,10025,1,500,1,30
"193",-4.323,2.012,10025,1,500,-1,29
"194",0.925,1.459,10025,1,500,1,29
"195",-0.42,1.596,10025,1,500,-1,28
"196",4.034,1.237,10025,1,500,1,28
"197",-15.271,3.979,10025,1,500,-1,26
"198",-3.379,2.483,10025,1,500,1,26
"199",-5.205,1.796,10025,1,500,-1,25
"200",2.621,2.461,10025,1,500,1,25
"201",-2.946,2.255,10025,1,500,-1,24
"202",2.901,1.549,10025,1,500,1,24
"203",-1.855,0.938,10025,1,500,-1,23
"204",0.511,0.957,10025,1,500,1,23
"205",-5.261,1.774,10025,1,500,-1,22
"206",2.019,2.372,10025,1,500,1,22
"207",-4.114,0.782,10025,1,500,-1,21
"208",0.892,1.982,10025,1,500,1,21
"209",-1.923,1.484,10025,1,500,-1,20
"210",2.116,3.632,10025,1,500,1,20
"211",0.194,3.346,10025,1,500,-1,19
"212",8.855,0.922,10025,1,500,1,19
"213",-4.266,1.843,10025,1,500,-1,18
"214",2.053,2.459,10025,1,500,1,18
"215",-3.253,5.103,10025,1,500,-1,17
"216",5.223,3.051,10025,1,500,1,17
"217",-2.049,1.155,10025,1,500,-1,16
"218",1.607,1.382,10025,1,500,1,16
"219",-2.147,2.115,10025,1,500,-1,15
"220",3.822,1.936,10025,1,500,1,15
"221",0.825,1.941,10025,1,500,-1,14
"222",7.092,1.366,10025,1,500,1,14
"223",-1.864,2.806,10025,1,500,-1,13
"224",3.731,8.667,10025,1,500,1,13
"225",-2.24,1.659,10025,1,500,-1,12
"226",2.144,1.672,10025,1,500,1,12
"227",-1.133,2.927,10025,1,500,-1,11
"228",8.856,2.097,10025,1,500,1,11
"229",-5.191,2.591,10025,1,500,-1,10
"230",2.626,4.69,10025,1,500,1,10
"231",-3.783,2.473,10025,1,500,-1,9
"232",2.575,2.683,10025,1,500,1,9
"233",-5.5,3.096,10025,1,500,-1,8
"234",4.16,3.438,10025,1,500,1,8
"235",-5.218,2.773,10025,1,500,-1,7
"236",1.496,2.236,10025,1,500,1,7
"237",-1.315,6.633,10025,1,500,-1,6
"238",-0.755,1.252,10025,1,500,1,6
"239",-2.9,1.025,10025,1,500,-1,5
"240",2,1.515,10025,1,500,1,5
"241",-2.762,0.745,10025,1,500,-1,4
"242",0.994,0.801,10025,1,500,1,4
"243",0.31,1.615,10025,1,500,-1,3
"244",5.761,1.799,10025,1,500,1,3
"245",-0.756,1.608,10025,1,500,-1,2
"246",3.683,1.216,10025,1,500,1,2
"247",-3.244,3.421,10025,1,500,-1,1
"248",4.88,3.626,10025,1,500,1,1
"249",-1.851,0.921,10027,1,500,-1,27
"250",1.445,1.03,10027,1,500,1,27
"251",-3.146,2.789,10027,1,500,-1,26
"252",3.624,3.199,10027,1,500,1,26
"253",-3.236,1.527,10027,1,500,-1,25
"254",0.61,0.522,10027,1,500,1,25
"255",-4.296,2.467,10027,1,500,-1,24
"256",3.813,3.216,10027,1,500,1,24
"257",-4.563,1.564,10027,1,500,-1,23
"258",0.644,2.535,10027,1,500,1,23
"259",-0.711,2.168,10027,1,500,-1,22
"260",6.071,1.563,10027,1,500,1,22
"261",-3.501,1.376,10027,1,500,-1,21
"262",0.805,1.282,10027,1,500,1,21
"263",-3.162,0.329,10027,1,500,-1,20
"264",1.785,1.215,10027,1,500,1,20
"265",-2.747,4.56,10027,1,500,-1,19
"266",1.33,1.358,10027,1,500,1,19
"267",-3.312,1.061,10027,1,500,-1,18
"268",0.759,0.831,10027,1,500,1,18
"269",-1.987,0.969,10027,1,500,-1,17
"270",0.666,0.864,10027,1,500,1,17
"271",-1.88,1.649,10027,1,500,-1,16
"272",2.409,1.137,10027,1,500,1,16
"273",-1.961,1.523,10027,1,500,-1,15
"274",1.797,1.449,10027,1,500,1,15
"275",-3.085,2.561,10027,1,500,-1,14
"276",4.873,2.63,10027,1,500,1,14
"277",-2.717,1.682,10027,1,500,-1,13
"278",2.133,2.034,10027,1,500,1,13
"279",-5.605,2.353,10027,1,500,-1,12
"280",2.535,3.286,10027,1,500,1,12
"281",0.219,4.42,10027,1,500,-1,11
"282",0.223,4.415,10027,1,500,1,11
"283",-2.56,0.781,10027,1,500,-1,10
"284",-0.265,1.219,10027,1,500,1,10
"285",-1.062,2.686,10027,1,500,-1,9
"286",5.71,1.485,10027,1,500,1,9
"287",-2.28,1.962,10027,1,500,-1,8
"288",3.797,1.715,10027,1,500,1,8
"289",-5.714,3.199,10027,1,500,-1,7
"290",2.646,3.164,10027,1,500,1,7
"291",-3.864,1.129,10027,1,500,-1,6
"292",1.124,2.243,10027,1,500,1,6
"293",-4.489,3.412,10027,1,500,-1,5
"294",3.572,2.163,10027,1,500,1,5
"295",-4.57,2.241,10027,1,500,-1,4
"296",2.928,2.756,10027,1,500,1,4
"297",-1.716,1.907,10027,1,500,-1,3
"298",5.832,2.182,10027,1,500,1,3
"299",-6.249,2.224,10027,1,500,-1,2
"300",2.537,2.637,10027,1,500,1,2
"301",-0.687,3.281,10027,1,500,-1,1
"302",0.757,1.098,10027,1,500,1,1
"303",-1.139,7.261,10028,1,500,-1,39
"304",-0.578,1.918,10028,1,500,1,39
"305",0.492,0.328,10028,1,500,-1,38
"306",1.472,0.335,10028,1,500,1,38
"307",0.473,1.554,10028,1,500,-1,36
"308",0.757,6.931,10028,1,500,1,36
"309",-0.88,1.445,10028,1,500,-1,35
"310",3.262,1.572,10028,1,500,1,35
"311",-2.994,2.633,10028,1,500,-1,34
"312",3.751,2.119,10028,1,500,1,34
"313",-5.757,2.123,10028,1,500,-1,33
"314",1.457,3.638,10028,1,500,1,33
"315",-2.708,2.305,10028,1,500,-1,32
"316",3.376,2.098,10028,1,500,1,32
"317",0.338,2.472,10028,1,500,-1,31
"318",3.459,7.321,10028,1,500,1,31
"319",-0.56,0.94,10028,1,500,-1,30
"320",2.561,0.977,10028,1,500,1,30
"321",-1.617,1.639,10028,1,500,-1,29
"322",-1.354,7.539,10028,1,500,1,29
"323",-7.094,2.21,10028,1,500,-1,28
"324",1.682,3.403,10028,1,500,1,28
"325",-3.722,2.45,10028,1,500,-1,27
"326",3.239,1.64,10028,1,500,1,27
"327",-8.046,2.194,10028,1,500,-1,26
"328",-0.786,2.003,10028,1,500,1,26
"329",-1.608,2.362,10028,1,500,-1,25
"330",3.714,0.585,10028,1,500,1,25
"331",-1.646,1.404,10028,1,500,-1,24
"332",2.185,0.945,10028,1,500,1,24
"333",-4.826,1.294,10028,1,500,-1,23
"334",1.422,2.652,10028,1,500,1,23
"335",0.647,1.073,10028,1,500,-1,21
"336",6.554,1.667,10028,1,500,1,21
"337",-3.563,3.523,10028,1,500,-1,20
"338",7.864,2.053,10028,1,500,1,20
"339",-4.332,2.14,10028,1,500,-1,19
"340",2.675,2.888,10028,1,500,1,19
"341",-0.629,1.159,10028,1,500,-1,18
"342",3.239,1.161,10028,1,500,1,18
"343",-3.728,1.651,10028,1,500,-1,16
"344",1.088,2.294,10028,1,500,1,16
"345",0.539,1.795,10028,1,500,-1,15
"346",0.566,0.556,10028,1,500,1,15
"347",-4.251,1.009,10028,1,500,-1,14
"348",-0.167,1.576,10028,1,500,1,14
"349",-0.163,0.342,10028,1,500,-1,13
"350",1.318,0.506,10028,1,500,1,13
"351",-5.043,1.521,10028,1,500,-1,12
"352",1.033,1.576,10028,1,500,1,12
"353",-0.274,0.541,10028,1,500,-1,10
"354",3.462,1.455,10028,1,500,1,10
"355",-1.97,1.429,10028,1,500,-1,9
"356",1.806,1.285,10028,1,500,1,9
"357",-2.671,3.901,10028,1,500,-1,8
"358",0.381,0.664,10028,1,500,1,8
"359",-0.177,1.906,10028,1,500,-1,7
"360",1.211,4.813,10028,1,500,1,7
"361",-2.9,1.624,10028,1,500,-1,6
"362",-1.184,4.514,10028,1,500,1,6
"363",0.168,0.19,10028,1,500,-1,5
"364",1.191,0.427,10028,1,500,1,5
"365",0.109,2.271,10028,1,500,-1,4
"366",5.651,0.801,10028,1,500,1,4
"367",-0.518,0.542,10028,1,500,-1,3
"368",0.31,0.539,10028,1,500,1,3
"369",-2.186,2.967,10028,1,500,-1,2
"370",5.572,1.573,10028,1,500,1,2
"371",-1.78,0.553,10028,1,500,-1,1
"372",-0.436,0.33,10028,1,500,1,1
"373",-2.47,2.238,10046,1,500,-1,103
"374",4.709,2.566,10046,1,500,1,103
"375",-1.493,2.05,10046,1,500,-1,102
"376",5.324,1.513,10046,1,500,1,102
"377",-4.239,1.636,10046,1,500,-1,101
"378",3.191,3.293,10046,1,500,1,101
"379",-7.834,2.687,10046,1,500,-1,100
"380",1.18,3.545,10046,1,500,1,100
"381",1.018,2.486,10046,1,500,-1,99
"382",4.827,1.096,10046,1,500,1,99
"383",-3.17,2.402,10046,1,500,-1,98
"384",4.506,2.478,10046,1,500,1,98
"385",-4.31,1.705,10046,1,500,-1,97
"386",3.415,2.715,10046,1,500,1,97
"387",-3.415,2.112,10046,1,500,-1,96
"388",3.083,1.342,10046,1,500,1,96
"389",-1.734,1.303,10046,1,500,-1,95
"390",2.693,1.131,10046,1,500,1,95
"391",-5.285,1.464,10046,1,500,-1,94
"392",1.836,3.117,10046,1,500,1,94
"393",-1.645,3.531,10046,1,500,-1,93
"394",6.645,1.712,10046,1,500,1,93
"395",1.453,3.43,10046,1,500,-1,92
"396",7.969,0.966,10046,1,500,1,92
"397",-1.774,1.602,10046,1,500,-1,91
"398",2.13,1.547,10046,1,500,1,91
"399",-4.73,2.063,10046,1,500,-1,90
"400",0.379,2.081,10046,1,500,1,90
"401",-3.65,1.222,10046,1,500,-1,89
"402",2.177,2.118,10046,1,500,1,89
"403",-0.347,1.772,10046,1,500,-1,88
"404",5.213,1.722,10046,1,500,1,88
