"","num","equil","pn","elapse"
"elapsed242","4","FALSE","500",54.3360000000102
"elapsed243","4","FALSE","500",49.7000000000116
"elapsed244","4","FALSE","500",46.1539999999804
"elapsed245","4","FALSE","500",45.73199999996
"elapsed246","4","FALSE","500",45.6739999999991
"elapsed247","4","FALSE","500",47.0339999999851
"elapsed248","4","FALSE","500",41.4679999999935
"elapsed249","4","FALSE","500",50.1730000000098
"elapsed250","4","TRUE","100",2.18100000004051
"elapsed251","4","TRUE","100",2.27799999999115
"elapsed252","4","TRUE","100",2.75400000001537
"elapsed253","4","TRUE","100",2.48399999999674
"elapsed254","4","TRUE","100",1.9649999999674
"elapsed255","4","TRUE","100",1.91199999995297
"elapsed256","4","TRUE","100",1.88500000000931
"elapsed257","4","TRUE","100",2.03499999997439
"elapsed258","4","TRUE","100",1.70400000002701
"elapsed259","4","TRUE","100",1.87800000002608
"elapsed260","4","TRUE","100",2.00500000000466
"elapsed261","4","TRUE","100",2.08799999998882
"elapsed262","4","TRUE","100",1.8190000000177
"elapsed263","4","TRUE","100",1.79200000001583
"elapsed264","4","TRUE","100",1.83100000000559
"elapsed265","4","TRUE","100",1.69300000002841
"elapsed266","4","TRUE","100",2.20199999999022
"elapsed267","4","TRUE","100",1.83300000004238
"elapsed268","4","TRUE","100",1.875
"elapsed269","4","TRUE","100",1.87300000002142
"elapsed270","4","TRUE","100",1.96899999998277
"elapsed271","4","TRUE","100",1.78999999997905
"elapsed272","4","TRUE","100",1.74700000003213
"elapsed273","4","TRUE","100",1.89999999996508
"elapsed274","4","TRUE","100",1.99700000003213
"elapsed275","4","TRUE","100",1.75
"elapsed276","4","TRUE","100",2.30699999997159
"elapsed277","4","TRUE","100",1.8070000000298
"elapsed278","4","TRUE","100",1.69099999999162
"elapsed279","4","TRUE","100",1.65999999997439
"elapsed280","4","TRUE","100",1.82000000000698
"elapsed281","4","TRUE","100",1.73199999995995
"elapsed282","4","TRUE","100",1.74599999998463
"elapsed283","4","TRUE","100",1.82699999999022
"elapsed284","4","TRUE","100",1.84399999998277
"elapsed285","4","TRUE","100",1.74300000001676
"elapsed286","4","TRUE","100",1.79599999997299
"elapsed287","4","TRUE","100",1.81400000001304
"elapsed288","4","TRUE","100",1.62599999998929
"elapsed289","4","TRUE","100",2.01600000000326
"elapsed290","4","TRUE","100",1.6480000000447
"elapsed291","4","TRUE","100",1.82500000001164
"elapsed292","4","TRUE","100",2.3859999999986
"elapsed293","4","TRUE","100",2.01600000000326
"elapsed294","4","TRUE","100",1.79999999998836
"elapsed295","4","TRUE","100",2.0460000000312
"elapsed296","4","TRUE","100",1.84399999998277
"elapsed297","4","TRUE","100",2.04200000001583
"elapsed298","4","TRUE","100",1.96400000003632
"elapsed299","4","TRUE","100",1.86699999996927
"elapsed300","4","TRUE","150",3.98399999999674
"elapsed301","4","TRUE","150",3.69200000003912
"elapsed302","4","TRUE","150",3.66899999999441
"elapsed303","4","TRUE","150",3.44899999996414
"elapsed304","4","TRUE","150",3.89699999999721
"elapsed305","4","TRUE","150",4.27999999996973
"elapsed306","4","TRUE","150",3.46299999998882
"elapsed307","4","TRUE","150",3.82600000000093
"elapsed308","4","TRUE","150",3.57500000001164
"elapsed309","4","TRUE","150",3.30100000003586
"elapsed310","4","TRUE","150",3.72200000000885
"elapsed311","4","TRUE","150",3.63999999995576
"elapsed312","4","TRUE","150",3.83100000000559
"elapsed313","4","TRUE","150",4.28700000001118
"elapsed314","4","TRUE","150",3.4199999999837
"elapsed315","4","TRUE","150",3.42300000000978
"elapsed316","4","TRUE","150",4.26800000004005
"elapsed317","4","TRUE","150",4.3190000000177
"elapsed318","4","TRUE","150",3.39099999994505
"elapsed319","4","TRUE","150",3.69599999999627
"elapsed320","4","TRUE","150",3.35099999996601
"elapsed321","4","TRUE","150",3.73399999999674
"elapsed322","4","TRUE","150",3.52899999998044
"elapsed323","4","TRUE","150",3.86300000001211
"elapsed324","4","TRUE","150",3.34499999997206
"elapsed325","4","TRUE","150",3.71199999999953
"elapsed326","4","TRUE","150",4.25400000001537
"elapsed327","4","TRUE","150",3.59699999995064
"elapsed328","4","TRUE","150",3.58600000001024
"elapsed329","4","TRUE","150",3.90599999995902
"elapsed330","4","TRUE","150",3.59899999998743
"elapsed331","4","TRUE","150",3.8640000000014
"elapsed332","4","TRUE","150",3.47100000001956
"elapsed333","4","TRUE","150",3.48500000004424
"elapsed334","4","TRUE","150",3.84399999998277
"elapsed335","4","TRUE","150",3.74400000000605
"elapsed336","4","TRUE","150",3.40700000000652
"elapsed337","4","TRUE","150",3.66599999996834
"elapsed338","4","TRUE","150",3.48800000001211
"elapsed339","4","TRUE","150",3.52199999999721
"elapsed340","4","TRUE","150",3.66499999997905
"elapsed341","4","TRUE","150",3.62199999997392
"elapsed342","4","TRUE","150",3.36800000001676
"elapsed343","4","TRUE","150",3.64100000000326
"elapsed344","4","TRUE","150",3.54200000001583
"elapsed345","4","TRUE","150",3.55999999999767
"elapsed346","4","TRUE","150",3.46799999999348
